coordinates:	80.4,25.2
timeat12nm	I_1at12nm
1.000000e-01	162
2.000000e-01	113
3.000000e-01	162
4.000000e-01	113
5.000000e-01	148
6.000000e-01	113
7.000000e-01	141
8.000000e-01	113
9.000000e-01	150
1	113
1.100000e+00	153
1.200000e+00	113
1.300000e+00	133
1.400000e+00	113
1.500000e+00	155
1.600000e+00	113
1.700000e+00	144
1.800000e+00	113
1.900000e+00	149
2	113
2.100000e+00	148
2.200000e+00	113
2.300000e+00	150
2.400000e+00	113
2.500000e+00	144
2.600000e+00	113
2.700000e+00	141
2.800000e+00	113
2.900000e+00	146
3	113
3.100000e+00	142
3.200000e+00	113
3.300000e+00	153
3.400000e+00	113
3.500000e+00	145
3.600000e+00	113
3.700000e+00	151
3.800000e+00	113
3.900000e+00	143
4	113
4.100000e+00	154
4.200000e+00	113
4.300000e+00	143
4.400000e+00	113
4.500000e+00	147
4.600000e+00	113
4.700000e+00	139
4.800000e+00	113
4.900000e+00	153
5	113
5.100000e+00	150
5.200000e+00	113
5.300000e+00	151
5.400000e+00	113
5.500000e+00	154
5.600000e+00	113
5.700000e+00	164
5.800000e+00	113
5.900000e+00	148
6	113
6.100000e+00	139
6.200000e+00	113
6.300000e+00	155
6.400000e+00	113
6.500000e+00	149
6.600000e+00	113
6.700000e+00	147
6.800000e+00	113
6.900000e+00	138
7	113
7.100000e+00	148
7.200000e+00	113
7.300000e+00	153
7.400000e+00	113
7.500000e+00	152
7.600000e+00	113
7.700000e+00	151
7.800000e+00	113
7.900000e+00	150
8	113
8.100000e+00	157
8.200000e+00	113
8.300000e+00	143
8.400000e+00	113
8.500000e+00	150
8.600000e+00	113
8.700000e+00	145
8.800000e+00	113
8.900000e+00	139
9	113
9.100000e+00	148
9.200000e+00	113
9.300000e+00	147
9.400000e+00	113
9.500000e+00	153
9.600000e+00	113
9.700000e+00	151
9.800000e+00	113
9.900000e+00	152
10	113
1.010000e+01	149
1.020000e+01	113
1.030000e+01	145
1.040000e+01	113
1.050000e+01	146
1.060000e+01	113
1.070000e+01	151
1.080000e+01	113
1.090000e+01	158
11	113
1.110000e+01	149
1.120000e+01	113
1.130000e+01	150
1.140000e+01	113
1.150000e+01	147
1.160000e+01	113
1.170000e+01	151
1.180000e+01	113
1.190000e+01	148
12	113
1.210000e+01	147
1.220000e+01	113
1.230000e+01	148
1.240000e+01	113
1.250000e+01	143
1.260000e+01	113
1.270000e+01	144
1.280000e+01	113
1.290000e+01	148
13	113
1.310000e+01	141
1.320000e+01	113
1.330000e+01	138
1.340000e+01	113
1.350000e+01	152
1.360000e+01	113
1.370000e+01	151
1.380000e+01	113
1.390000e+01	153
14	113
1.410000e+01	149
1.420000e+01	113
1.430000e+01	149
1.440000e+01	113
1.450000e+01	156
1.460000e+01	113
1.470000e+01	143
1.480000e+01	113
1.490000e+01	150
15	113
1.510000e+01	149
1.520000e+01	113
1.530000e+01	140
1.540000e+01	113
1.550000e+01	146
1.560000e+01	113
1.570000e+01	158
1.580000e+01	113
1.590000e+01	140
16	113
1.610000e+01	152
1.620000e+01	113
1.630000e+01	146
1.640000e+01	113
1.650000e+01	158
1.660000e+01	113
1.670000e+01	152
1.680000e+01	113
1.690000e+01	142
17	113
1.710000e+01	147
1.720000e+01	113
1.730000e+01	148
1.740000e+01	113
1.750000e+01	146
1.760000e+01	113
1.770000e+01	151
1.780000e+01	113
1.790000e+01	150
18	113
1.810000e+01	142
1.820000e+01	113
1.830000e+01	152
1.840000e+01	113
1.850000e+01	152
1.860000e+01	113
1.870000e+01	149
1.880000e+01	113
1.890000e+01	159
19	113
1.910000e+01	144
1.920000e+01	113
1.930000e+01	151
1.940000e+01	113
1.950000e+01	148
1.960000e+01	113
1.970000e+01	150
1.980000e+01	113
1.990000e+01	150
20	113
2.010000e+01	149
2.020000e+01	113
2.030000e+01	140
2.040000e+01	113
2.050000e+01	155
2.060000e+01	113
2.070000e+01	151
2.080000e+01	113
2.090000e+01	147
21	113
2.110000e+01	140
2.120000e+01	113
2.130000e+01	148
2.140000e+01	113
2.150000e+01	148
2.160000e+01	113
2.170000e+01	160
2.180000e+01	113
2.190000e+01	152
22	113
2.210000e+01	160
2.220000e+01	113
2.230000e+01	145
2.240000e+01	113
2.250000e+01	151
2.260000e+01	113
2.270000e+01	145
2.280000e+01	113
2.290000e+01	143
23	113
2.310000e+01	147
2.320000e+01	113
2.330000e+01	159
2.340000e+01	113
2.350000e+01	159
2.360000e+01	113
2.370000e+01	154
2.380000e+01	113
2.390000e+01	147
24	113
2.410000e+01	154
2.420000e+01	113
2.430000e+01	145
2.440000e+01	113
2.450000e+01	152
2.460000e+01	113
2.470000e+01	142
2.480000e+01	113
2.490000e+01	149
25	113
2.510000e+01	141
2.520000e+01	113
2.530000e+01	151
2.540000e+01	113
2.550000e+01	151
2.560000e+01	113
2.570000e+01	148
2.580000e+01	113
2.590000e+01	146
26	113
2.610000e+01	162
2.620000e+01	113
2.630000e+01	147
2.640000e+01	113
2.650000e+01	150
2.660000e+01	113
2.670000e+01	147
2.680000e+01	113
2.690000e+01	156
27	113
2.710000e+01	149
2.720000e+01	113
2.730000e+01	146
2.740000e+01	113
2.750000e+01	145
2.760000e+01	113
2.770000e+01	159
2.780000e+01	113
2.790000e+01	142
28	113
2.810000e+01	145
2.820000e+01	113
2.830000e+01	152
2.840000e+01	113
2.850000e+01	144
2.860000e+01	113
2.870000e+01	151
2.880000e+01	113
2.890000e+01	143
29	113
2.910000e+01	156
2.920000e+01	113
2.930000e+01	143
2.940000e+01	113
2.950000e+01	144
2.960000e+01	113
2.970000e+01	151
2.980000e+01	113
2.990000e+01	151
30	113
3.010000e+01	139
3.020000e+01	113
3.030000e+01	151
3.040000e+01	113
3.050000e+01	132
3.060000e+01	113
3.070000e+01	154
3.080000e+01	113
3.090000e+01	154
31	113
3.110000e+01	143
3.120000e+01	113
3.130000e+01	161
3.140000e+01	113
3.150000e+01	141
3.160000e+01	113
3.170000e+01	160
3.180000e+01	113
3.190000e+01	153
32	113
3.210000e+01	156
3.220000e+01	113
3.230000e+01	139
3.240000e+01	113
3.250000e+01	143
3.260000e+01	113
3.270000e+01	145
3.280000e+01	113
3.290000e+01	151
33	113
3.310000e+01	156
3.320000e+01	113
3.330000e+01	159
3.340000e+01	113
3.350000e+01	152
3.360000e+01	113
3.370000e+01	150
3.380000e+01	113
3.390000e+01	143
34	113
3.410000e+01	161
3.420000e+01	113
3.430000e+01	145
3.440000e+01	113
3.450000e+01	152
3.460000e+01	113
3.470000e+01	156
3.480000e+01	113
3.490000e+01	151
35	113
3.510000e+01	147
3.520000e+01	113
3.530000e+01	146
3.540000e+01	113
3.550000e+01	153
3.560000e+01	113
3.570000e+01	154
3.580000e+01	113
3.590000e+01	153
36	113
3.610000e+01	157
3.620000e+01	113
3.630000e+01	147
3.640000e+01	113
3.650000e+01	152
3.660000e+01	113
3.670000e+01	141
3.680000e+01	113
3.690000e+01	156
37	113
3.710000e+01	147
3.720000e+01	113
3.730000e+01	141
3.740000e+01	113
3.750000e+01	151
3.760000e+01	113
3.770000e+01	143
3.780000e+01	113
3.790000e+01	148
38	113
3.810000e+01	149
3.820000e+01	113
3.830000e+01	163
3.840000e+01	113
3.850000e+01	148
3.860000e+01	113
3.870000e+01	156
3.880000e+01	113
3.890000e+01	149
39	113
3.910000e+01	153
3.920000e+01	113
3.930000e+01	143
3.940000e+01	113
3.950000e+01	148
3.960000e+01	113
3.970000e+01	143
3.980000e+01	113
3.990000e+01	152
40	113
4.010000e+01	138
4.020000e+01	113
4.030000e+01	148
4.040000e+01	113
4.050000e+01	149
4.060000e+01	113
4.070000e+01	146
4.080000e+01	113
4.090000e+01	155
41	113
4.110000e+01	153
4.120000e+01	113
4.130000e+01	137
4.140000e+01	113
4.150000e+01	150
4.160000e+01	113
4.170000e+01	141
4.180000e+01	113
4.190000e+01	155
42	113
4.210000e+01	144
4.220000e+01	113
4.230000e+01	149
4.240000e+01	113
4.250000e+01	142
4.260000e+01	113
4.270000e+01	147
4.280000e+01	113
4.290000e+01	147
43	113
4.310000e+01	140
4.320000e+01	113
4.330000e+01	155
4.340000e+01	113
4.350000e+01	150
4.360000e+01	113
4.370000e+01	149
4.380000e+01	113
4.390000e+01	157
44	113
4.410000e+01	145
4.420000e+01	113
4.430000e+01	147
4.440000e+01	113
4.450000e+01	148
4.460000e+01	113
4.470000e+01	153
4.480000e+01	113
4.490000e+01	147
45	113
4.510000e+01	155
4.520000e+01	113
4.530000e+01	148
4.540000e+01	113
4.550000e+01	151
4.560000e+01	113
4.570000e+01	150
4.580000e+01	113
4.590000e+01	151
46	113
4.610000e+01	147
4.620000e+01	113
4.630000e+01	140
4.640000e+01	113
4.650000e+01	144
4.660000e+01	113
4.670000e+01	144
4.680000e+01	113
4.690000e+01	146
47	113
4.710000e+01	149
4.720000e+01	113
4.730000e+01	136
4.740000e+01	113
4.750000e+01	164
4.760000e+01	113
4.770000e+01	139
4.780000e+01	113
4.790000e+01	144
48	113
4.810000e+01	148
4.820000e+01	113
4.830000e+01	152
4.840000e+01	113
4.850000e+01	154
4.860000e+01	113
4.870000e+01	146
4.880000e+01	113
4.890000e+01	145
49	113
4.910000e+01	146
4.920000e+01	113
4.930000e+01	144
4.940000e+01	113
4.950000e+01	147
4.960000e+01	113
4.970000e+01	149
4.980000e+01	113
4.990000e+01	156
50	113
5.010000e+01	145
5.020000e+01	113
5.030000e+01	150
5.040000e+01	113
5.050000e+01	151
5.060000e+01	113
5.070000e+01	147
5.080000e+01	113
5.090000e+01	152
51	113
5.110000e+01	143
5.120000e+01	113
5.130000e+01	147
5.140000e+01	113
5.150000e+01	147
5.160000e+01	113
5.170000e+01	156
5.180000e+01	113
5.190000e+01	145
52	113
5.210000e+01	149
5.220000e+01	113
5.230000e+01	147
5.240000e+01	113
5.250000e+01	140
5.260000e+01	113
5.270000e+01	153
5.280000e+01	113
5.290000e+01	146
53	113
5.310000e+01	149
5.320000e+01	113
5.330000e+01	147
5.340000e+01	113
5.350000e+01	157
5.360000e+01	113
5.370000e+01	147
5.380000e+01	113
5.390000e+01	144
54	113
5.410000e+01	154
5.420000e+01	113
5.430000e+01	154
5.440000e+01	113
5.450000e+01	165
5.460000e+01	113
5.470000e+01	146
5.480000e+01	113
5.490000e+01	158
55	113
5.510000e+01	145
5.520000e+01	113
5.530000e+01	151
5.540000e+01	113
5.550000e+01	148
5.560000e+01	113
5.570000e+01	141
5.580000e+01	113
5.590000e+01	146
56	113
5.610000e+01	148
5.620000e+01	113
5.630000e+01	161
5.640000e+01	113
5.650000e+01	144
5.660000e+01	113
5.670000e+01	144
5.680000e+01	113
5.690000e+01	145
57	113
5.710000e+01	153
5.720000e+01	113
5.730000e+01	151
5.740000e+01	113
5.750000e+01	155
5.760000e+01	113
5.770000e+01	141
5.780000e+01	113
5.790000e+01	142
58	113
5.810000e+01	148
5.820000e+01	113
5.830000e+01	140
5.840000e+01	113
5.850000e+01	144
5.860000e+01	113
5.870000e+01	149
5.880000e+01	113
5.890000e+01	153
59	113
5.910000e+01	141
5.920000e+01	113
5.930000e+01	161
5.940000e+01	113
5.950000e+01	155
5.960000e+01	113
5.970000e+01	163
5.980000e+01	113
5.990000e+01	152
60	113
6.010000e+01	155
6.020000e+01	113
6.030000e+01	149
6.040000e+01	113
6.050000e+01	144
6.060000e+01	113
6.070000e+01	146
6.080000e+01	113
6.090000e+01	146
61	113
6.110000e+01	147
6.120000e+01	113
6.130000e+01	141
6.140000e+01	113
6.150000e+01	146
6.160000e+01	113
6.170000e+01	144
6.180000e+01	113
6.190000e+01	143
62	113
6.210000e+01	150
6.220000e+01	113
6.230000e+01	149
6.240000e+01	113
6.250000e+01	155
6.260000e+01	113
6.270000e+01	146
6.280000e+01	113
6.290000e+01	146
63	113
6.310000e+01	157
6.320000e+01	113
6.330000e+01	142
6.340000e+01	113
6.350000e+01	142
6.360000e+01	113
6.370000e+01	148
6.380000e+01	113
6.390000e+01	149
64	113
6.410000e+01	139
6.420000e+01	113
6.430000e+01	146
6.440000e+01	113
6.450000e+01	149
6.460000e+01	113
6.470000e+01	158
6.480000e+01	113
6.490000e+01	151
65	113
6.510000e+01	149
6.520000e+01	113
6.530000e+01	151
6.540000e+01	113
6.550000e+01	142
6.560000e+01	113
6.570000e+01	148
6.580000e+01	113
6.590000e+01	142
66	113
6.610000e+01	155
6.620000e+01	113
6.630000e+01	139
6.640000e+01	113
6.650000e+01	148
6.660000e+01	113
6.670000e+01	152
6.680000e+01	113
6.690000e+01	149
67	113
6.710000e+01	147
6.720000e+01	113
6.730000e+01	145
6.740000e+01	113
6.750000e+01	144
6.760000e+01	113
6.770000e+01	149
6.780000e+01	113
6.790000e+01	158
68	113
6.810000e+01	159
6.820000e+01	113
6.830000e+01	151
6.840000e+01	113
6.850000e+01	149
6.860000e+01	113
6.870000e+01	147
6.880000e+01	113
6.890000e+01	148
69	113
6.910000e+01	152
6.920000e+01	113
6.930000e+01	160
6.940000e+01	113
6.950000e+01	136
6.960000e+01	113
6.970000e+01	148
6.980000e+01	113
6.990000e+01	154
70	113
7.010000e+01	139
7.020000e+01	113
7.030000e+01	154
7.040000e+01	113
7.050000e+01	147
7.060000e+01	113
7.070000e+01	149
7.080000e+01	113
7.090000e+01	151
71	113
7.110000e+01	154
7.120000e+01	113
7.130000e+01	160
7.140000e+01	113
7.150000e+01	147
7.160000e+01	113
7.170000e+01	146
7.180000e+01	113
7.190000e+01	144
72	113
7.210000e+01	147
7.220000e+01	113
7.230000e+01	155
7.240000e+01	113
7.250000e+01	146
7.260000e+01	113
7.270000e+01	149
7.280000e+01	113
7.290000e+01	155
73	113
7.310000e+01	143
7.320000e+01	113
7.330000e+01	148
7.340000e+01	113
7.350000e+01	149
7.360000e+01	113
7.370000e+01	160
7.380000e+01	113
7.390000e+01	147
74	113
7.410000e+01	143
7.420000e+01	113
7.430000e+01	167
7.440000e+01	113
7.450000e+01	149
7.460000e+01	113
7.470000e+01	154
7.480000e+01	113
7.490000e+01	144
75	113
7.510000e+01	162
7.520000e+01	113
7.530000e+01	152
7.540000e+01	113
7.550000e+01	135
7.560000e+01	113
7.570000e+01	141
7.580000e+01	113
7.590000e+01	149
76	113
7.610000e+01	144
7.620000e+01	113
7.630000e+01	153
7.640000e+01	113
7.650000e+01	150
7.660000e+01	113
7.670000e+01	141
7.680000e+01	113
7.690000e+01	148
77	113
7.710000e+01	149
7.720000e+01	113
7.730000e+01	167
7.740000e+01	113
7.750000e+01	137
7.760000e+01	113
7.770000e+01	151
7.780000e+01	113
7.790000e+01	147
78	113
7.810000e+01	147
7.820000e+01	113
7.830000e+01	151
7.840000e+01	113
7.850000e+01	143
7.860000e+01	113
7.870000e+01	145
7.880000e+01	113
7.890000e+01	139
79	113
7.910000e+01	149
7.920000e+01	113
7.930000e+01	147
7.940000e+01	113
7.950000e+01	145
7.960000e+01	113
7.970000e+01	145
7.980000e+01	113
7.990000e+01	165
80	113
8.010000e+01	149
8.020000e+01	113
8.030000e+01	156
8.040000e+01	113
8.050000e+01	144
8.060000e+01	113
8.070000e+01	153
8.080000e+01	113
8.090000e+01	149
81	113
8.110000e+01	147
8.120000e+01	113
8.130000e+01	144
8.140000e+01	113
8.150000e+01	146
8.160000e+01	113
8.170000e+01	157
8.180000e+01	113
8.190000e+01	163
82	113
8.210000e+01	145
8.220000e+01	113
8.230000e+01	148
8.240000e+01	113
8.250000e+01	145
8.260000e+01	113
8.270000e+01	142
8.280000e+01	113
8.290000e+01	147
83	113
8.310000e+01	144
8.320000e+01	113
8.330000e+01	146
8.340000e+01	113
8.350000e+01	162
8.360000e+01	113
8.370000e+01	144
8.380000e+01	113
8.390000e+01	148
84	113
8.410000e+01	159
8.420000e+01	113
8.430000e+01	145
8.440000e+01	113
8.450000e+01	154
8.460000e+01	113
8.470000e+01	156
8.480000e+01	113
8.490000e+01	149
85	113
8.510000e+01	146
8.520000e+01	113
8.530000e+01	145
8.540000e+01	113
8.550000e+01	145
8.560000e+01	113
8.570000e+01	154
8.580000e+01	113
8.590000e+01	146
86	113
8.610000e+01	159
8.620000e+01	113
8.630000e+01	148
8.640000e+01	113
8.650000e+01	140
8.660000e+01	113
8.670000e+01	150
8.680000e+01	113
8.690000e+01	153
87	113
8.710000e+01	155
8.720000e+01	113
8.730000e+01	150
8.740000e+01	113
8.750000e+01	138
8.760000e+01	113
8.770000e+01	142
8.780000e+01	113
8.790000e+01	148
88	113
8.810000e+01	153
8.820000e+01	113
8.830000e+01	152
8.840000e+01	113
8.850000e+01	151
8.860000e+01	113
8.870000e+01	145
8.880000e+01	113
8.890000e+01	139
89	113
8.910000e+01	154
8.920000e+01	113
8.930000e+01	146
8.940000e+01	113
8.950000e+01	165
8.960000e+01	113
8.970000e+01	148
8.980000e+01	113
8.990000e+01	157
90	113
9.010000e+01	145
9.020000e+01	113
9.030000e+01	157
9.040000e+01	113
9.050000e+01	138
9.060000e+01	113
9.070000e+01	154
9.080000e+01	113
9.090000e+01	151
91	113
9.110000e+01	155
9.120000e+01	113
9.130000e+01	140
9.140000e+01	113
9.150000e+01	154
9.160000e+01	113
9.170000e+01	145
9.180000e+01	113
9.190000e+01	151
92	113
9.210000e+01	140
9.220000e+01	113
9.230000e+01	152
9.240000e+01	113
9.250000e+01	149
9.260000e+01	113
9.270000e+01	140
9.280000e+01	113
9.290000e+01	146
93	113
9.310000e+01	157
9.320000e+01	113
9.330000e+01	150
9.340000e+01	113
9.350000e+01	144
9.360000e+01	113
9.370000e+01	145
9.380000e+01	113
9.390000e+01	146
94	113
9.410000e+01	147
9.420000e+01	113
9.430000e+01	160
9.440000e+01	113
9.450000e+01	154
9.460000e+01	113
9.470000e+01	152
9.480000e+01	113
9.490000e+01	142
95	113
9.510000e+01	162
9.520000e+01	113
9.530000e+01	159
9.540000e+01	113
9.550000e+01	147
9.560000e+01	113
9.570000e+01	149
9.580000e+01	113
9.590000e+01	155
96	113
9.610000e+01	145
9.620000e+01	113
9.630000e+01	160
9.640000e+01	113
9.650000e+01	137
9.660000e+01	113
9.670000e+01	142
9.680000e+01	113
9.690000e+01	142
97	113
9.710000e+01	151
9.720000e+01	113
9.730000e+01	155
9.740000e+01	113
9.750000e+01	151
9.760000e+01	113
9.770000e+01	141
9.780000e+01	113
9.790000e+01	142
98	113
9.810000e+01	140
9.820000e+01	113
9.830000e+01	158
9.840000e+01	113
9.850000e+01	156
9.860000e+01	113
9.870000e+01	152
9.880000e+01	113
9.890000e+01	152
99	113
9.910000e+01	144
9.920000e+01	113
9.930000e+01	145
9.940000e+01	113
9.950000e+01	149
9.960000e+01	113
9.970000e+01	155
9.980000e+01	113
9.990000e+01	153
100	113
